crop,temperature,humidity,rainfall,soil_moisture,growth_stage,previous_disease_history,risk_percentage,risk_level,disease_category
grapes,30.12116329730008,80.4857349881335,259.08516735855204,7.804783711348482,flowering,1,71.2,high,root_rot
rice,20.848797393851733,81.24340986188218,143.55311403333934,5.417755479829549,maturity,0,62.1,medium,powdery_mildew
rice,22.762632000780595,57.43425483937541,239.4821417044223,14.066203365956506,maturity,0,64.7,medium,leaf_blight
lentil,25.32182212686452,31.936265733800397,54.624377958912106,66.07870528568054,maturity,0,51.0,medium,leaf_blight
banana,27.791212924437435,39.05763916807443,8.130083092421248,24.491581766756802,seedling,0,33.3,low,none_significant
lentil,20.7328442059202,90.23290335373707,148.3285115063585,62.51042340600395,vegetative,0,73.8,high,root_rot
wheat,20.4878181808618,55.05404157960051,171.3383948448423,55.32298922335372,seedling,0,54.3,medium,rust
wheat,19.702483655122318,46.39800864626517,280.4553421179476,81.19435618109857,vegetative,0,64.2,medium,powdery_mildew
orange,23.475329579002008,45.41266042095928,65.23679560765973,9.895464802744337,flowering,1,47.1,medium,powdery_mildew
maize,22.8663609009192,46.42313089556544,192.53660574584757,41.46438418202776,seedling,1,80.7,high,root_rot
grapes,22.60788066077233,67.28903024569809,132.64066149771008,76.51914537645929,vegetative,1,66.3,high,root_rot
cotton,25.658990662508085,20.677855779743517,210.97103077202175,89.06318915604743,flowering,1,70.2,high,root_rot
sugarcane,28.985332721565488,71.07439834649972,162.28044181978674,18.64578402200621,seedling,0,68.8,high,downy_mildew
grapes,17.79232452122598,40.76231315769167,139.57435216208637,55.83791436037949,maturity,0,47.4,medium,rust
banana,24.82900615642945,22.20704416005402,218.27410983832874,84.23928467281033,maturity,1,68.2,high,root_rot
lentil,24.700104071867333,21.487949366452774,191.8406655524494,29.786226301665405,flowering,0,53.4,medium,powdery_mildew
maize,25.589392173743374,74.8030858899819,9.16986783507342,51.78102955275761,vegetative,1,59.4,medium,leaf_blight
orange,26.140198051596442,77.97589598939928,90.50374638910193,56.37333081311987,flowering,0,56.3,medium,leaf_blight
chickpea,23.55039800812052,30.114593874933632,35.47453441232368,84.11279026157248,seedling,0,39.4,low,none_significant
coffee,24.65465082461693,97.46189870845731,16.208442456484683,79.03638864055944,seedling,0,49.9,medium,powdery_mildew
kidneybeans,18.098420132795717,63.59402493947989,64.11216364469624,56.532090538384786,maturity,0,43.1,medium,powdery_mildew
mango,30.033396986437847,89.20661990891743,292.8155536004688,11.831906319225975,maturity,0,75.3,high,blast
mango,30.94062397269429,23.64238756011506,74.24527579980065,43.12694361249837,seedling,0,34.4,low,none_significant
sugarcane,28.753861392172624,36.142716261674096,267.7074108711196,66.0700476735364,maturity,0,64.7,medium,rust
coffee,20.159043462811958,74.87181779090453,123.40765944694716,66.6459115219723,seedling,1,73.5,high,downy_mildew
grapes,17.75170639505473,85.54248470946901,28.286651528901086,85.63693759933672,seedling,1,63.8,medium,leaf_blight
maize,22.283075853366476,48.485472691338586,91.09367023393379,8.308760943336301,maturity,0,52.2,medium,rust
cotton,27.36120113501914,56.24757239606707,143.24658390031982,13.791254109503496,vegetative,0,52.8,medium,leaf_blight
watermelon,24.407040477607033,83.96121492804303,128.79600042421765,18.778853664474703,flowering,0,71.9,high,bacterial_wilt
kidneybeans,13.510698198667592,52.00801397156846,27.537353013976695,40.23104151574649,maturity,0,37.7,low,none_significant
maize,28.413290414178114,52.59982067038264,105.41468068920138,66.76877588564295,seedling,0,68.6,high,downy_mildew
watermelon,25.483046489200277,57.4965951731972,119.31466563189332,75.67071917958523,maturity,0,63.1,medium,leaf_blight
coconut,26.011389602303833,42.318258689370026,133.755521985222,54.28317289997741,maturity,0,51.1,medium,powdery_mildew
coffee,22.289028102046974,95.52227872115407,217.61403428493216,59.29762532125674,seedling,0,82.8,high,blast
